Cve,Provincia,Cantón,Nutrición y Asistencia Médica Básica,Agua y Saneamiento,Vivienda,Seguridad Personal,Acceso a Conocimientos Básicos,Acceso a Información y Comunicaciones,Salud y Bienestar,Sustentabilidad del Ecosistema,Derechos Personales,Libertad Personal y de Elección,Tolerancia e Inclusión,Acceso a Educación Superior,Necesidades Humanas Básicas,Fundamentos del Bienestar,Oportunidades,Índice de Progreso Social,Tasa de mortalidad infantil,Muertes por enfermedades infecciosas,Intensidad del déficit alimentario,Tasa de mortalidad materna,Acceos a fuentes de abastecimiento de agua potable mejoradas,Acceso a saneamiento mejorado,Hacinamiento ,Calidad de la vivienda,Acceso a energía eléctrica,Tasa de robos y asaltos,Tasa de homicidios,Muertes en carreteras,Analfabetismo,Matriculación en educación primaria,Matriculación en educación secundaria,Rezago escolar,Paridad de género en educación secundaria,Usuarios de telefonía movil,Usuarios de computadoras,Usuarios de internet,Cobertura telefonía movil 3G,Esperanza de vida al nacer,Tasa de muertes por IRA,Tasa de suicidio,Tasa de obesidad,Tasa de mortalidad por enfermedades no contagiosas,Separación de residuos,Cobertura forestal,Disponibilidad de agua por persona,Desastres naturales,Libertad de acceso a la información,Participación política,Derecho a la propiedad privada,Libertad de asociación,Porcentaje de madres adolescentes,Población jóvenes Nini,Rendición de cuentas,Acceso a la cultura y recreación,Inclusión al adulto mayor,Inclusión a población con discapacidad,Inclusión población indígena,Inclusión de migrantes,Inclusión de hogares con jefatura femenina,Población con educación superior,Escolaridad promedio de las mujeres,Población con educación técnica
101,SAN JOSE,SAN JOSE,82.99,98.67,63.89,43.71,84.28,73.76,64.57,39.81,68.15,84.88,82.67,57.45,72.31,65.61,73.29,70.40,12.4022133181,2.847,30.1828764599,5.6,98.4,98.9,6.8,1.407253386,100,717.6669615558,16.13,11.39,1.2,91.8461492376,75.2804007625,22.6,1.129724485,78.0953091764,59.0260103743,56.1581520319,99.3133333333,78.751,20.87,7.91,3.7953784941,257.14,39.2,1,3705,4,54.19,31.0574313843,59.0430142974,41.6588556312,4.7,18.2054596135,95.3,20.552,5.2522354026,7.7097310626,7.9190158893,25.5627748244,36.8745188607,29.4694484054,9.7331874845,4.3295891331
102,SAN JOSE,ESCAZU,85.93,98.12,86.02,52.94,88.65,77.36,67.82,64.55,75.07,85.94,86.72,67.35,80.75,74.60,78.77,78.04,12.6984126984,1.416,37.3582821687,10.2,98.6,97.7,3.8,0.3426491059,100,174.1504283159,16.1,19.33,1,93.923806462,77.6184971098,18.5,1.198361615,81.4108403553,66.1922113414,64.1539512639,95.8833333333,78.048,14.49,8,4.8313846748,224.33,64.2,2,18636,1,56.84,26.8764127877,69.5623302143,24.7748146313,2.9,14.0685989536,90,15.573,6.1698830821,6.7415730337,6.4957264957,10.2265060241,29.8507462687,40.2796163404,10.5832675284,4.1979807181
103,SAN JOSE,DESAMPARADOS,88.54,94.70,80.79,59.00,88.80,70.99,68.09,48.47,72.83,75.32,84.02,50.33,80.76,69.09,70.62,73.49,11.5085536547,2.159,36.9785040434,2.9,92.2,96.9,4.8,0.5441203388,100,189.4007396503,13.13,10.07,1.4,92.6800074808,77.5023731674,22.5,1.0835906553,76.6446586694,57.2605726212,53.9588564107,93.8233333333,79.089,14,22,1.3128528292,202.21,46.5,2,905,4,48.92,29.9996058906,68.5485136431,46.5426489005,4.2,17.0888186937,33.3,3.071,5.1021368728,8.3663138518,9.3582887701,18.0813415365,31.0650887574,21.6969074067,9.0388899444,5.2886354008
104,SAN JOSE,PURISCAL,90.99,89.77,90.23,86.09,84.83,58.46,76.55,65.58,85.93,85.43,84.22,48.45,89.27,71.35,76.01,78.88,10.3896103896,1.212,33.608738272,0,84.5,94.4,2.2,0.2635884385,99.7,8.6994345368,2.77,11.08,3.3,92.2265122265,81.9414483821,16.3,0.9636044177,66.5598809177,44.6979257677,40.4006083552,79.9233333333,82.038,8.31,4,2.7687792452,235.9,54.8,3,2968,2,41.59,28.5384935183,81.4856442219,299.9636407708,2.3,14.9655827202,97.7,5.454,8.805476865,6.5196998124,8.3412322275,27.0457697642,17.2413793103,20.6620351451,8.5127121899,7.4232275184
105,SAN JOSE,TARRAZU,91.50,96.41,88.02,65.44,77.76,55.22,77.40,71.50,70.18,81.29,79.15,37.76,85.34,70.47,67.09,74.30,0,3.071,22.4630763183,0,94.5,98.1,2.5,0.2961156593,99.3,64.1175099091,11.25,11.25,3.5,90.1408450704,68.9655172414,25.1,1.1405121471,67.7595628415,41.4423530999,36.8751264926,72.7633333333,76.756,11.25,3,0,129.33,55.8,3,1066,1,0,34.5522778844,74.2254449572,122.8501228501,2.9,20.3230148048,81,8.6,4.3593130779,10.5723905724,33.0128205128,25.3164556962,11.1111111111,12.5101323966,7.4311911171,3.440599069
106,SAN JOSE,ASERRI,86.78,96.17,80.56,66.06,81.69,64.82,71.93,53.97,68.98,76.89,79.69,43.19,82.39,68.10,67.19,72.56,10.6257378985,1.9,56.9990025175,0,94.2,97.9,4.4,0.6020957564,99.85,94.6888181114,7.88,9.46,2,91.3130805925,72.3158666178,24.1,1.0850705684,71.4352509912,47.6845963941,43.7009052143,93.62,77.794,15.77,7,4.7299214833,145.38,36.9,3,240,3,0,30.9020113588,69.9255583127,93.2771367374,4.2,20.8238144687,58.6,2.246,8.748085758,10.6247004314,15.0357995227,19.4024604569,32.380952381,15.9515604524,8.2076741388,4.2642328121
107,SAN JOSE,MORA,94.65,97.90,89.35,79.86,88.76,65.51,76.40,57.85,80.58,85.28,85.12,53.36,90.44,72.13,76.09,79.55,5.1546391753,1.902,17.5106815157,0,99.5,96.5,3,0.2428307123,100,28.8277899895,6.94,10.41,2,93.9835338822,81.3253012048,17.4,1.1466222357,72.6211849192,50.9915129754,48.000652848,88.1466666667,81.677,10.41,4,0,217.82,49.6,3,19064,2,49.08,27.9833246483,76.342842457,155.9291093025,3.2,15.2897854627,100,5.705,7.3712554695,7.009694258,7.4151074151,12.3482849604,33.3333333333,25.3964995124,9.2311007026,5.2921495022
108,SAN JOSE,GOICOECHEA,79.61,97.12,81.54,59.89,84.79,75.44,72.45,54.08,72.53,84.31,83.71,56.80,79.54,71.69,74.34,75.19,8.7336244541,2.433,103.2107339163,0,96,98.1,4.3,0.5769119267,100,195.6206221998,17.42,8.71,1,92.5195665262,78.1534182091,20.4,1.1219180319,79.0051902308,61.759087563,58.9943811325,99.6966666667,79.587,16.63,5,2.3752969121,205.47,39.7,2,4270,2,51.1,29.2835885566,66.6359163592,48.6601091377,4,16.5898444819,95.3,9.211,3.743542566,7.3868391023,7.5284090909,18.5367210682,44.8275862069,28.6288135006,9.7046173438,4.2845029213
109,SAN JOSE,SANTA ANA,90.40,97.62,85.83,70.98,86.13,76.80,77.29,53.39,75.36,86.27,86.31,64.68,86.21,73.40,78.15,79.25,14.0127388535,1.018,31.6638417553,0,98.9,96.5,3.8,0.3415991903,99.92,84.6039594653,7.41,12.97,1.3,93.2974065342,78.7669480686,18.6,1.1603361888,81.2452061099,65.2144375534,63.5335627096,95.41,79.451,7.41,7,0,174.85,54.5,3,38288,2,58.51,26.7646016559,68.5563751317,44.7855383425,2.6,14.7996653342,96.3,13.436,4.8619695097,6.6878306878,7.2933549433,10.3808639108,35.7142857143,37.2452468883,10.3646766169,4.3172404725
110,SAN JOSE,ALAJUELITA,93.17,98.54,46.21,54.30,72.20,66.58,74.42,52.54,68.53,79.67,76.21,41.38,73.06,66.43,66.45,68.65,12.2448979592,1.933,14.1589579007,0,97.8,99.2,8.4,2.3953837948,100,184.640800758,20.02,7.07,1.4,89.8603901915,74.0681576145,26.5,1.0876132931,74.3718451256,49.6926200615,45.6572008686,93.87,77.04,14.13,4,0,156.27,33.5,2,966,2,49.41,34.8509359834,64.4110528439,43.8127391982,4.8,21.6197004316,86.7,0.387,9.0200965883,13.531239213,13.8576779026,26.5181781862,37.4015748031,13.8507040682,8.1612527458,3.35015933
111,SAN JOSE,VASQUEZ DE CORONADO,82.28,91.84,88.57,68.31,83.73,76.58,72.16,62.59,76.60,81.27,88.13,59.25,82.75,73.76,76.31,77.61,11.1482720178,0.827,88.0629194376,0,88.7,94.6,2.5,0.3854625551,100,92.8390171443,9.04,6.03,0.9,94.309997119,80.9912752924,18.4,1.1088015589,80.5738384712,64.5056554499,61.5747031109,97.6133333333,78.88,9.04,7,7.5318219477,167.21,47.2,3,2149,2,47.7,26.1127775653,72.5502768872,51.2515292795,2,13.1847348869,53.3,10.25,3.8727301944,6.2295081967,4.6283309958,7.8571428571,34.2857142857,31.0758198975,9.9336096278,4.4220147871
112,SAN JOSE,ACOSTA,93.88,97.29,86.46,96.33,84.77,50.58,77.38,68.82,82.86,76.96,82.74,40.90,93.49,70.39,70.87,78.25,3.7313432836,2.474,22.7665968491,0,99.9,95,2.7,0.2486107049,98.62,24.6475401755,0,5.61,4.4,93.4902537698,80.5608365019,17.4,1.0182460271,63.1108747673,38.1015687317,33.2358415315,66,79.785,13.58,1,0,167.08,49.3,3,709,1,0,30.2874413221,87.2253449157,282.0525508437,2.6,16.6440085453,40.6,2.474,11.7699115044,8.275862069,10.7142857143,15.3526970954,23.5294117647,11.8573510026,7.6114473684,11.0821590003
113,SAN JOSE,TIBAS,94.04,99.23,74.55,41.26,75.81,74.93,57.23,51.47,71.51,83.75,85.73,62.54,77.27,64.86,75.88,72.67,6.7567567568,2.313,17.0227253383,0,99.5,99,3.6,1.1982248521,100,289.149873895,30.34,15.97,1,93.8300692092,78.4238551651,19.4,1.1192817014,80.0404818325,62.9114007372,60.2159031069,94.6,79.959,25.26,2,12.6283886176,267.58,42.7,1,2329,2,46.76,28.3381346777,64.5772442589,49.3507294655,2.8,15.7604017217,81.7,12.029,3.8105771164,5.6299905265,4.6231155779,23.1956489784,35.7429718876,34.6990298982,10.1882519462,4.6109794629
114,SAN JOSE,MORAVIA,96.16,99.02,91.39,70.45,90.37,79.27,73.51,61.07,76.90,86.95,90.53,68.16,89.26,76.05,80.63,81.98,1.6806722689,0.878,17.8571428571,0,99.5,98.6,2.6,0.1660761736,100,158.4219133279,5.54,12.93,0.8,94.6212603437,79.3711829903,18.1,1.1494538232,82.7344188658,68.8545760809,66.5581134194,97.1966666667,81.276,9.58,5,6.3879395701,204.58,46.4,3,5595,2,53.42,25.3275727743,71.1449567382,50.9495950386,2.8,12.3165490959,94.3,13.352,3.2590983161,5.3565450285,7.2847682119,8.2319721981,16.1290322581,40.0045792788,10.80728227,4.4787572525
115,SAN JOSE,MONTES DE OCA,94.33,90.41,93.71,20.16,74.78,82.42,69.42,57.34,71.07,87.98,91.92,79.45,74.65,70.99,82.61,76.08,12.5223613596,1.628,7.5294117647,0,86.9,93.5,2,0.1040525739,100,458.2035090058,82.84,66.27,0.5,95.2215032354,80.8650065531,15.5,1.1865378316,84.5037252719,74.3191744455,72.9682281408,96.57,82.127,18.48,3,3.695628072,272.74,49.2,2,6696,2,51.16,24.7824724626,59.9855325818,36.636000977,1.6,9.8595213319,75.3,28.291,2.0731707317,3.5720895799,3.0303030303,8.7910275441,23.8095238095,51.9876237624,11.8287405956,4.3654192001
116,SAN JOSE,TURRUBARES,90.14,86.91,76.86,71.39,81.37,47.78,80.78,70.44,77.92,73.29,80.85,38.62,81.32,70.09,67.67,73.03,0,3.628,0,0,76.7,95.9,3.5,0.4631578947,96.8,0,13.18,13.18,5,91.9571045576,76.4272559853,26,1.0048543689,65.8934539021,30.155297818,26.8527619422,66,81.546,16.57,1,0,107.68,55.8,4,17524,1,0,31.2457142857,73.5556879095,362,5.5,20.0587803086,30.3,3.628,12.2480620155,5.9011164274,8.4507042254,27.4590163934,36.3636363636,11.216147164,7.192346425,10.3793984667
117,SAN JOSE,DOTA,90.45,98.16,69.00,91.49,89.72,55.20,62.57,80.68,78.01,80.69,74.81,45.24,87.28,72.04,69.69,76.34,23.4375,1.439,13.2082948091,0,99.6,96.9,2.7,0.2202643172,91.66,67.6498444054,1.4,0,2.7,91.6313559322,72.8104575163,23.3,1.3193277311,68.875,44.921875,39.484375,66,78.889,39.54,1,0,205.59,76.3,3,966,1,50.67,31.0995570961,74.3852459016,143.9263097294,3.3,17.2358591249,69,7.196,4.5643153527,9.9644128114,36.7768595041,31.5352697095,33.3333333333,15.6262918561,7.8767951625,13.734375
118,SAN JOSE,CURRIDABAT,91.71,92.97,78.42,62.81,78.83,77.30,77.28,53.57,73.44,85.56,85.69,68.17,81.48,71.75,78.21,77.15,8.0971659919,1.84,30.9214594929,0,88.5,96.9,4.3,0.8000387898,100,260.615653313,7.5,3.41,1,93.3617958959,77.9104477612,19.2,1.1569365214,82.0462909953,65.7593849677,63.6149505193,95.9433333333,80.152,12.56,2,2.7916585243,174.05,52,1,7885,2,48.41,26.5679706073,67.7582784916,26.0712204398,2.7,15.100983258,95,10.582,3.6736272235,7.3194694613,8.0669710807,18.7871077184,28.323699422,40.88624577,10.6700333083,4.4753414574
119,SAN JOSE,PEREZ ZELEDON,96.00,88.00,85.97,61.23,83.72,61.42,76.30,63.27,76.63,80.33,78.41,41.84,82.80,71.18,69.30,74.43,6.52938222,1.858,6.8015643598,0,79.6,95.4,3.4,0.3604531411,99.7,144.3301930147,0,91,2.8,90.7496667009,75.477994855,22.9,1.0757196496,70.0674590948,40.6351857558,36.9938540873,94.73,79.055,5.45,17,0.681472799,168.53,47.7,3,767,2,51.34,34.4752531466,74.2105536512,151.6345310479,2.4,19.5254048018,71.3,6.764,8.248510895,10.2597671054,26.0964912281,17.7891875566,29.1925465839,16.1403812637,7.8824240062,3.7021421506
120,SAN JOSE,LEON CORTES CASTRO,87.32,97.37,92.77,98.70,82.30,49.20,82.58,67.77,76.40,76.62,76.11,38.23,94.04,70.46,66.84,77.12,21.978021978,0.82,37.5855070285,0,97.1,97.6,2.6,0.0671591672,100,40.0994466276,0,0.22,3.4,87.896944278,71.1225997046,18.8,1.1652542373,62.732259777,35.8078216245,30.2158909927,66,80.199,7.51,0,0,136.74,57.4,2,644,1,0,32.5088743845,79.5084394433,221.3114754098,3.1,21.9714285714,56.7,2.459,8.2407407407,9.3617021277,35.1449275362,44.7105788423,0,9.8270623978,7.2062582636,11.4758449832
201,ALAJUELA,ALAJUELA,92.96,96.54,82.78,60.33,86.99,68.52,71.47,34.89,70.89,84.55,84.77,50.68,83.15,65.47,72.72,73.78,6.8779169737,1.491,0,2.3,95,97.9,4.3,0.4880058715,100,182.8074307969,7.5,18.22,1.8,92.4412059044,75.3460531238,21.8,1.0428674664,74.4329002857,52.4847809822,48.8857808461,95.6333333333,78.432,11.08,8.93,4.6446818393,189.69,38.5,2,16425,5,46,30.9126060919,65.4648692924,58.0651742348,3.8,17.3781960523,100,8.357,4.9744897959,7.6138709813,11.3102859582,17.0969430907,27.1573604061,23.3226031439,8.9209846117,4.757856074
202,ALAJUELA,SAN RAMON,91.42,97.63,86.61,70.56,87.29,64.60,75.54,58.12,80.35,84.22,84.52,49.00,86.56,71.39,74.52,77.49,3.3167495854,1.862,41.0130216344,0,98.8,96.6,3.4,0.3126163007,99.69,82.2025518531,6.8,13.61,2.5,92.7877286585,77.2846638655,21.6,1.0653588424,71.8119004495,47.5145904609,43.5285436372,92.7433333333,81.615,11.34,4.54,5.6706058475,173.41,40.7,3,7053,2,54.95,26.8500180826,73.717866186,151.4286423553,3.4,16.5456685961,89.7,12.04,5.187416332,7.5143815916,11.0260336907,22.777879175,21.7391304348,22.8566012374,8.6930330349,3.387670222
203,ALAJUELA,GRECIA,93.00,95.23,85.05,74.80,85.58,64.81,75.41,49.01,80.86,85.02,85.53,47.14,87.02,68.70,74.64,76.79,8.785942492,1.561,22.6689733341,0,93.9,96.4,3.2,0.5161455445,100,48.4913139934,7.12,7.12,2.5,93.4173947577,76.7190704033,21.9,1.0247756933,71.3237361525,46.7665748186,42.0246864983,96.0533333333,80.99,9.49,8.3,2.3725636737,209.51,41.8,2,7561,3,65.3,26.1021324559,73.6284490304,117.0381544383,3,17.3814302313,100,9.623,4.645934807,8.7550409783,9.4036697248,21.4907192575,13.7096774194,21.6057311359,8.4333750127,3.1617274925
204,ALAJUELA,SAN MATEO,79.41,96.63,88.09,91.49,91.75,54.51,74.01,50.56,78.16,81.94,84.28,45.63,88.90,67.71,72.50,76.37,57.6923076923,1.63,0,0,94.5,98.5,3.2,0.2031694433,99.48,46.3678516229,0,0,2.3,87.5481386393,73.2743362832,18.8,1.0495049505,66.380819041,35.194259713,32.1491074554,81.5066666667,83.679,14.85,0,0,256.94,34.7,2,22444,1,28.04,30.4648862512,76.2813522356,195.5671447197,3.8,23.1101511879,100,6.519,7.6670317634,7.6056338028,3.125,29.7213622291,20,15.082552432,8.0370689655,14.01820091
205,ALAJUELA,ATENAS,82.15,97.17,91.22,95.32,92.43,65.59,73.22,45.60,82.15,83.08,88.11,51.90,91.47,69.21,76.31,79.00,0,1.571,0,31.6,99.3,95.3,2.3,0.2301231159,100,37.8501135503,0,7.15,2,93.6946148603,78.6270022883,17.9,1.0340030912,72.1589715582,49.1198588413,45.431248162,92.9466666667,81.225,3.57,7.15,0,280.58,51.3,2,43712,2,42.5,24.6578238123,76.9138115632,172.8201099764,2,15.3792744315,80,5.106,3.9469893402,7.0981210856,3.825136612,18.0984555985,17.3913043478,25.6379418532,8.9526024144,3.8818636306
206,ALAJUELA,NARANJO,80.03,96.86,87.52,84.94,81.09,63.37,69.92,54.30,80.17,80.19,82.51,43.66,87.33,67.17,71.63,75.38,15.0250417362,1.171,0,32.2,95.1,98.4,3.5,0.2876914703,100,15.9828298742,2.14,12.83,2.6,94.64505901,79.3437733035,22.3,1.0378890392,69.0877823019,43.4511013884,38.7673554033,98.7733333333,81.364,10.69,14.97,6.416975038,194.43,51.4,1,4988,2,53.19,26.7545326821,76.622709368,98.3307189849,2.7,17.4697097774,59.3,11.706,4.9225546361,7.4055788694,15.953307393,24.6206896552,28.2051282051,18.2823046073,8.1431737854,2.3519890746
207,ALAJUELA,PALMARES,93.76,98.51,93.05,89.90,81.08,66.84,56.22,46.88,87.01,85.82,86.80,50.99,93.81,62.75,77.66,78.07,6.7873303167,0.864,23.943174865,0,99.1,98,2.2,0.1168679392,100,24.7395475412,2.63,5.25,1.8,94.9600193845,82.4144486692,20.5,1.0383173678,71.85077669,51.7124239523,47.9293412804,93.29,79.841,10.51,13.13,18.3842840635,239.27,34.2,1,19255,1,81.23,22.7849034351,78.7615201408,129.6232284825,2.3,14.4672763986,100,4.609,4.7630388188,6.102003643,11.8942731278,18.0473372781,16.6666666667,25.0913046857,8.9233266013,2.6558784472
208,ALAJUELA,POAS,85.25,97.30,80.01,98.70,83.58,62.63,75.81,50.50,77.33,82.01,82.17,43.19,90.32,68.13,71.17,76.54,9.5693779904,1.429,0,21.6,98.2,96.5,4.1,0.7211818076,100,23.5745798673,0,0,2.6,93.7659033079,72.1854304636,24.9,1.0679963735,70.3118023515,44.5750855782,39.7120107159,92.92,80.134,6.25,3.12,6.2482426817,189.01,33.7,1,8012,1,33.72,24.1251835722,73.3746521629,85.6193705264,3.1,19.4085797584,86.7,6.272,5.3988157436,9.5819459859,13.8686131387,24.1238051889,23.0769230769,17.5257236273,8.0549964055,3.2482512279
209,ALAJUELA,OROTINA,85.47,92.59,74.14,60.50,82.13,61.38,72.15,34.64,72.61,76.27,81.41,48.37,78.18,62.57,69.66,70.14,3.1446540881,0.492,0,27.5,91.1,93.9,5.2,0.9508285792,100,125.3737100974,8.98,17.95,3.3,92.343470483,75.4404698345,21.5,1.1041412911,73.501391565,40.8959537572,38.8193106401,89.4133333333,80.351,13.47,4.49,4.4887332795,217.25,24.9,2,56730,1,38.5,36.2283933126,70.5013280212,152.4015535126,4.6,21.0405827263,50.3,7.374,9.383624655,8.9637079143,8.2644628099,23.1267345051,31.4285714286,17.2628951747,8.1892414861,16.1742667523
210,ALAJUELA,SAN CARLOS,96.72,98.44,74.68,68.86,81.70,59.39,72.95,51.91,72.99,82.32,78.44,40.50,84.68,66.49,68.56,73.24,4.2105263158,1.038,2.7690245834,2.9,99.4,97.6,6.5,0.6375227687,99.73,88.3602774048,6.7,16.2,4.3,91.0414560162,73.5767734211,27.9,1.0893568921,68.6660813184,40.7760367419,37.3902471971,87.85,80.173,6.14,3.91,12.8473676861,131.2,45.2,2,3378,3,58.12,29.6769769298,64.1684828537,87.9416165379,5,21.4332006296,100,7.634,8.2976772616,11.4038785835,17.2278338945,30.4604894049,21.0682492582,14.0746860842,7.6648714059,5.7888693773
211,ALAJUELA,ZARCERO,90.91,97.83,87.99,90.20,89.76,64.41,82.69,67.64,84.36,81.30,85.51,43.94,91.73,76.13,73.78,80.55,9.3023255814,0.819,37.4784498913,0,99.8,96.1,3.2,0.305725403,100,0,0,14.97,2.3,92.091503268,76.7204757859,20.6,1.1654135338,71.5420310548,46.2163126896,41.5134749241,95.33,82.898,0,0,0,212.52,67.6,2,13889,1,50.15,17.3733804476,73.2373237324,163.8672675133,2.6,14.4485520641,66.7,3.277,3.1836734694,7.2354211663,16.25,26.5,7.1428571429,17.3267891793,8.3995661605,2.0078529359
212,ALAJUELA,VALVERDE VEGA,93.34,85.59,90.27,96.69,76.81,53.79,75.88,58.87,71.31,79.50,83.25,44.74,91.47,66.34,69.70,75.84,9.3023255814,1.106,0,0,90.7,81.1,3.2,0.14232343,100,5.0160513644,0,5.06,3,91.8505942275,76.4209341587,21.7,1.1089560753,66.2380382775,42.9126794258,38.4509569378,66,80.75,10.11,10.11,0,153.72,41.3,3,5589,2,0,29.6425966448,72.8333992877,105.0594415261,3.3,19.2366412214,66.7,6.635,5.2413077322,8.8452088452,13.986013986,19.2280200143,25,16.8278529981,7.9968948483,9.1686602871
213,ALAJUELA,UPALA,94.19,72.72,66.64,64.59,72.35,43.62,82.26,54.42,74.06,76.74,71.48,33.48,74.54,63.16,63.94,67.21,7.6169749728,0.455,0,0,74.9,70.8,10.4,0.3160033105,98.52,50.6788859092,14.63,12.54,5.9,90.9488054608,75.3885536661,30.2,1.0631843066,53.9322178461,25.0257130673,21.7770865213,70.9633333333,79.535,0,10.45,0,103.26,37.8,2,872,2,50.84,41.2082774322,74.5615558257,168.3616590449,5.3,22.5364963504,66.7,1.82,22.4735677403,14.2106155672,17.7725118483,35.2051835853,13.9534883721,9.199003204,6.8211985806,3.7779394426
214,ALAJUELA,LOS CHILES,93.99,92.63,37.81,64.83,66.30,48.31,81.64,54.50,68.14,68.35,60.97,30.74,72.31,62.69,57.05,64.02,11.0236220472,0.843,15.1085930123,0,95.5,90.1,14.2,1.6722408027,98.25,32.9658254276,11.6,23.2,8.9,84.2092397947,65.0227352221,38.4,1.0137389598,54.0916950974,22.6947702949,20.2364817498,92.1633333333,79.72,3.87,7.73,0,103.24,39.8,1,3993,1,19.97,39.6958974849,68.1690140845,164.3143037708,7.9,29.0730130748,30.3,1.264,26.5625,20.1489611917,29.7658862876,47.7436132783,19.2,7.568715974,6.2668016707,4.8651680142
215,ALAJUELA,GUATUSO,95.35,98.39,69.80,96.13,72.33,53.73,78.09,60.56,71.18,65.74,70.31,32.98,89.92,66.18,60.05,72.05,9.2024539877,1.934,5.8654466538,0,98.6,98.2,7.2,0.6052581804,98.31,29.4985250737,0,5.91,5.8,87.4690849134,63.1764705882,30.8,1.0765765766,64.5585829124,27.3458063598,24.5998434943,94.4666666667,83.899,17.72,0,0,164.17,40.4,2,339,1,0,35.719326545,71.286005897,232.1382512252,6.2,28.0439121756,0,2.579,17.697228145,14.0130587644,28.3018867925,31.7142857143,25,7.9883381924,6.6783873343,5.9258732304
301,CARTAGO,CARTAGO,88.83,98.30,83.03,74.07,88.00,69.72,80.37,53.99,81.26,85.37,82.21,52.95,86.06,73.02,75.45,78.18,8.7804878049,0.763,51.5899654409,0,98.3,98.3,2.9,0.7122022363,100,218.7462938316,4.93,7.4,1.6,94.0398432397,78.0634168025,22.8,1.0775716695,74.8013563071,54.5076838,50.5137085977,96.47,79.891,5.55,3.7,1.2333421723,186.18,38.7,3,2446,3,55.14,23.3582753849,77.8963177793,49.3583415597,2.7,15.6824182337,100,6.107,5.1341291233,8.0128720837,10.9375,29.3960448958,29.0540540541,25.4059982672,9.1378670525,5.145817568
302,CARTAGO,PARAISO,84.82,98.38,86.03,69.69,85.76,65.60,78.17,60.29,79.93,79.65,81.15,41.74,84.73,72.46,70.62,75.94,9.7932535365,0.866,74.4696021422,0,98.7,98.1,4,0.3075571178,100,48.2509047045,11.08,4.75,2,93.0474498858,74.1947029349,25.8,1.0284090909,72.9625808872,45.8932758136,42.4064522179,97.9833333333,81.318,11.08,6.33,0,164.54,32.3,4,3450,2,35.86,25.1651162791,80.9038698209,55.4179727413,3.7,20.2881232158,76.7,2.598,4.5817490494,11.2364425163,12.5874125874,22.6647356988,29.6296296296,16.4194012034,7.8781947444,3.0329175654
303,CARTAGO,LA UNION,96.62,96.64,81.82,60.84,90.01,73.60,79.10,49.12,76.23,83.98,83.29,55.57,83.98,72.96,74.77,77.24,4.6153846154,1.811,6.4811214192,0,95.9,97.3,4.7,0.4873633642,100,265.8234102475,9.17,6.42,1.4,93.6702004179,78.2628676471,22.7,1.0726107052,78.5545283267,59.4882355519,56.5098803838,97.5166666667,81.993,8.25,11.92,0.9169937278,167.81,37.7,2,2085,3,51.59,28.2646141432,73.709181215,38.2297608628,4.1,16.3236729325,100,1.71,5.5447803765,9.3391589295,4.972875226,19.7120474275,36.0544217687,27.5848560316,9.4599420849,5.2501862157
